Unnamed: 0, ,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,CLIENT,,,,,: We Do,,,,PT. JUARA BERHASIL BERKAH SEJAHTERA,,,,,,,
,PROJECT TITLE,,,,,: Rapat Konsolidasi Nasional Kemendikdasmen,,,,,,,,,,,
,DURATION,,,,,: 3 Days,,,,,,,,,,,
,VENUE,,,,,: PPSDM Kemendikdasmen,,,,,QUOT NO.,,: 010/QUOT/WEDO/I/2026,,,,
,CITY,,,,,: Depok,,,,,DATE,,: 2 Februari 2026,,,,
,,,,,,,,,,,,,,,,,
,NO ,ITEM / TASK,,,,,SPECIFICATION,QTY,,FRQ,,,,PRICE,AMOUNT,NEGO,
,A,PERMIT,,,,,,,,,,,,,,PRICE,AMOUNT
,,Permit,,,,,,1,pax,1,event,1.0,time,50000000,50000000,,
,,,POLRES,,,,,,,,,,,,,,
,,,POLSEK,,,,,,,,,,,,,,
,,,DISHUB,,,,,,,,,,,,,,
,,,Laptop ,,,,,2,unit,3,day,1.0,time,350000,2100000,,
,,,Printer,,,,,1,unit,3,day,1.0,time,450000,1350000,,
,,,ATK,,,,,1,pckg,1,event,1.0,time,1500000,1500000,,
,,,,,,,,,,,,,,,,,
,F,FEES,,,,,,,,,,,,,,,
,,Services,,,,,,,,,,,,,,,
,,,Safety & Security Plan,,,,,1,pax,1,event,1.0,time,20000000,20000000,15000000,15000000
,,,CCTV Security System,,,,,1,pckg,3,day,1.0,time,handled by we do,handled by we do,,
,,,,Ruang sidang komisi 1-9,,,,9,unit,3,day,1.0,time,,,,
,,,,Ruang garuda,,,,1,unit,3,day,1.0,time,,,,
,,,,Ruang merah putih,,,,1,unit,3,day,1.0,time,,,,
,,,,Area Registrasi,,,,1,unit,3,day,1.0,time,,,,
,,,,Area parkir VIP,,,,1,unit,3,day,1.0,time,,,,
,,,,Area parkir reguler,,,,1,unit,3,day,1.0,time,,,,
,,,,Area mobilisasi kendaraan,,,,2,unit,3,day,1.0,time,,,,
,,,Survey & Meeting,,,,,,,,,,,,,,
,,,,Per Diem,,,,5,prs,2,day,1.0,time,450000,4500000,450000,900000
,,,,Transport,,,,5,unit,2,day,1.0,time,350000,3500000,350000,700000
,,,,Konsumsi,,,,5,prs,2,day,1.0,time,45000,450000,45000,90000
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Total Cost,763575000,,224790000
,,,,,,,,,,,,,,Man Fee 10%,76357500,,22479000
,,,,,,,,,,,,,,Subtotal,839932500,,247269000
,,,,,,,,,,,,,,Tax Base,769938125,,
,,,,,,,,,,,,,,PPN 12%,92392575,,
,,,,,,,,,,,,,,Grand Total,932325075,,
